date,draw_no,n1,n2,n3,n4,n5,bonus,numbers
2021-03-21,23,4,14,22,25,28,3,4 14 22 25 28
2021-03-24,24,4,9,23,27,31,5,4 9 23 27 31
2021-03-28,25,10,12,14,22,28,3,10 12 14 22 28
2021-03-31,26,2,6,9,15,30,14,2 6 9 15 30
2021-04-04,27,3,8,11,13,19,5,3 8 11 13 19
2021-04-07,28,4,10,16,24,25,4,4 10 16 24 25
2021-04-11,29,13,16,19,29,34,13,13 16 19 29 34
2021-04-14,30,11,19,24,25,26,11,11 19 24 25 26
2021-04-18,31,1,3,7,18,20,4,1 3 7 18 20
2021-04-21,32,14,18,20,22,29,8,14 18 20 22 29
2021-04-25,33,2,12,24,31,34,5,2 12 24 31 34
2021-04-28,34,9,10,15,16,34,13,9 10 15 16 34
2021-05-02,35,2,5,15,17,26,3,2 5 15 17 26
2021-05-05,36,7,10,12,13,33,8,7 10 12 13 33
2021-05-09,37,12,14,16,20,25,13,12 14 16 20 25
2021-05-12,38,12,17,22,24,26,2,12 17 22 24 26
2021-05-16,39,17,18,20,27,32,11,17 18 20 27 32
2021-05-19,40,5,18,23,28,32,14,5 18 23 28 32
2021-05-23,41,6,20,21,23,29,8,6 20 21 23 29
2021-05-26,42,14,21,24,27,31,3,14 21 24 27 31
2021-05-30,43,8,18,24,28,29,13,8 18 24 28 29
2021-06-02,44,2,6,16,17,32,11,2 6 16 17 32
2021-06-06,45,7,14,25,28,32,6,7 14 25 28 32
2021-06-09,46,12,17,18,19,30,3,12 17 18 19 30
2021-06-13,47,3,4,8,28,31,6,3 4 8 28 31
2021-06-16,48,2,13,17,22,24,6,2 13 17 22 24
2021-06-20,49,1,12,20,21,25,5,1 12 20 21 25
2021-06-23,50,2,7,11,32,33,6,2 7 11 32 33
2021-06-27,51,4,5,11,15,21,6,4 5 11 15 21
2021-06-30,52,6,15,16,17,31,2,6 15 16 17 31
2021-07-04,53,5,17,24,25,28,10,5 17 24 25 28
2021-07-07,54,10,13,16,31,33,8,10 13 16 31 33
2021-07-11,55,1,12,22,23,30,4,1 12 22 23 30
2021-07-14,56,3,25,28,30,31,10,3 25 28 30 31
2021-07-18,57,2,4,21,23,30,11,2 4 21 23 30
2021-07-21,58,8,16,22,25,30,3,8 16 22 25 30
2021-07-25,59,8,13,26,27,33,3,8 13 26 27 33
2021-07-28,60,1,3,4,7,8,1,1 3 4 7 8
2021-08-01,61,5,6,21,22,26,1,5 6 21 22 26
2021-08-04,62,8,10,18,24,32,6,8 10 18 24 32
2021-08-08,63,2,6,18,26,33,10,2 6 18 26 33
2021-08-11,64,6,14,23,24,26,2,6 14 23 24 26
2021-08-15,65,6,7,11,16,23,3,6 7 11 16 23
2021-08-18,66,1,9,13,22,30,8,1 9 13 22 30
2021-08-22,67,9,15,18,19,30,11,9 15 18 19 30
2021-08-25,68,3,11,19,21,30,11,3 11 19 21 30
2021-08-29,69,2,10,18,29,32,11,2 10 18 29 32
2021-09-01,70,6,8,10,14,22,10,6 8 10 14 22
2021-09-05,71,5,13,14,19,33,5,5 13 14 19 33
2021-09-08,72,1,6,9,23,27,12,1 6 9 23 27
2021-09-12,73,8,16,17,26,30,13,8 16 17 26 30
2021-09-15,74,9,11,26,33,34,1,9 11 26 33 34
2021-09-19,75,1,5,7,19,26,4,1 5 7 19 26
2021-09-22,76,3,13,14,22,32,8,3 13 14 22 32
2021-09-26,77,1,17,21,22,24,14,1 17 21 22 24
2021-09-29,78,10,15,18,19,27,4,10 15 18 19 27
2021-10-03,79,1,12,18,20,23,12,1 12 18 20 23
2021-10-06,80,1,6,8,10,11,12,1 6 8 10 11
2021-10-10,81,8,11,15,24,30,9,8 11 15 24 30
2021-10-13,82,3,7,25,27,31,2,3 7 25 27 31
2021-10-17,83,2,15,20,21,32,4,2 15 20 21 32
2021-10-20,84,1,6,18,23,30,9,1 6 18 23 30
2021-10-24,85,5,12,25,27,30,2,5 12 25 27 30
2021-10-27,86,1,2,8,18,19,14,1 2 8 18 19
2021-10-31,87,7,9,30,32,34,9,7 9 30 32 34
2021-11-03,88,7,14,24,25,29,7,7 14 24 25 29
