date,draw_no,n1,n2,n3,n4,n5,n6,numbers
2021-07-13,83,20,25,29,36,50,55,20 25 29 36 50 55
2021-07-15,84,7,9,14,21,38,47,7 9 14 21 38 47
2021-07-18,85,3,9,24,39,51,56,3 9 24 39 51 56
2021-07-20,86,11,20,30,40,44,52,11 20 30 40 44 52
2021-07-22,87,11,36,41,49,52,53,11 36 41 49 52 53
2021-07-25,88,4,18,26,27,30,56,4 18 26 27 30 56
2021-07-27,89,12,16,24,43,53,60,12 16 24 43 53 60
2021-07-29,90,6,10,20,21,24,45,6 10 20 21 24 45
2021-08-01,91,31,33,37,43,45,51,31 33 37 43 45 51
2021-08-03,92,7,16,22,24,49,56,7 16 22 24 49 56
2021-08-05,93,7,10,14,27,37,50,7 10 14 27 37 50
2021-08-08,94,3,9,21,27,42,60,3 9 21 27 42 60
2021-08-10,95,3,11,30,38,45,56,3 11 30 38 45 56
2021-08-12,96,5,25,26,27,45,52,5 25 26 27 45 52
2021-08-15,97,9,10,24,26,32,46,9 10 24 26 32 46
2021-08-17,98,5,8,21,31,57,60,5 8 21 31 57 60
2021-08-19,99,1,27,28,47,53,59,1 27 28 47 53 59
2021-08-22,100,34,46,48,50,52,56,34 46 48 50 52 56
2021-08-24,101,21,30,32,43,50,58,21 30 32 43 50 58
2021-08-26,102,2,22,26,37,44,49,2 22 26 37 44 49
2021-08-29,103,6,27,37,49,52,53,6 27 37 49 52 53
2021-08-31,104,5,21,35,36,55,57,5 21 35 36 55 57
2021-09-02,105,16,19,31,43,58,60,16 19 31 43 58 60
2021-09-05,106,5,16,36,37,50,51,5 16 36 37 50 51
2021-09-07,107,18,25,42,45,54,60,18 25 42 45 54 60
2021-09-07,120,7,17,23,41,44,47,7 17 23 41 44 47
2021-09-10,108,11,18,26,34,42,60,11 18 26 34 42 60
2021-09-12,109,1,10,17,22,50,58,1 10 17 22 50 58
2021-09-14,110,7,14,18,31,43,47,7 14 18 31 43 47
2021-09-16,111,14,16,20,29,36,38,14 16 20 29 36 38
2021-09-19,112,5,17,27,38,47,52,5 17 27 38 47 52
2021-09-21,113,13,15,26,30,48,59,13 15 26 30 48 59
2021-09-23,114,3,15,20,45,56,58,3 15 20 45 56 58
2021-09-26,115,7,13,22,26,44,56,7 13 22 26 44 56
2021-09-28,116,15,26,27,37,51,58,15 26 27 37 51 58
2021-09-30,117,8,10,28,39,49,60,8 10 28 39 49 60
2021-10-03,118,7,19,24,27,47,58,7 19 24 27 47 58
2021-10-05,119,9,18,25,36,41,59,9 18 25 36 41 59
2021-10-10,121,3,18,32,33,47,58,3 18 32 33 47 58
2021-10-12,122,9,15,17,18,32,43,9 15 17 18 32 43
2021-10-14,123,3,8,20,23,43,48,3 8 20 23 43 48
2021-10-17,124,8,37,42,43,56,57,8 37 42 43 56 57
2021-10-19,125,16,19,26,31,35,36,16 19 26 31 35 36
2021-10-21,126,23,25,34,35,36,55,23 25 34 35 36 55
2021-10-24,127,6,17,23,31,47,55,6 17 23 31 47 55
2021-10-26,128,1,8,22,30,36,56,1 8 22 30 36 56
2021-10-28,129,22,28,53,54,58,59,22 28 53 54 58 59
2021-10-31,130,5,32,34,44,48,50,5 32 34 44 48 50
2021-11-02,131,5,14,34,37,49,51,5 14 34 37 49 51
2021-11-04,132,3,18,37,44,56,60,3 18 37 44 56 60
2021-11-07,133,4,22,28,37,39,56,4 22 28 37 39 56
2021-11-09,134,1,5,7,12,29,37,1 5 7 12 29 37
2021-11-11,135,3,6,9,21,39,49,3 6 9 21 39 49
2021-11-14,136,13,26,28,33,47,58,13 26 28 33 47 58
2021-11-16,137,5,13,20,37,55,60,5 13 20 37 55 60
