date,draw_no,n1,n2,n3,n4,n5,n6,joker,super,numbers,bonus
2020-04-29,1318,7,12,20,21,41,46,,,7 12 20 21 41 46,
2020-05-02,1319,2,4,14,27,29,39,,,2 4 14 27 29 39,
2020-05-06,1320,5,15,17,26,31,34,,,5 15 17 26 31 34,
2020-05-09,1321,19,22,23,30,38,49,,,19 22 23 30 38 49,
2020-05-13,1322,5,8,10,24,30,37,,,5 8 10 24 30 37,
2020-05-16,1323,28,30,40,45,46,47,,,28 30 40 45 46 47,
2020-05-20,1324,2,12,15,16,30,33,,,2 12 15 16 30 33,
2020-05-23,1325,14,16,19,27,32,48,,,14 16 19 27 32 48,
2020-05-27,1326,3,8,13,15,38,41,,,3 8 13 15 38 41,
2020-05-30,1327,12,15,18,28,43,44,,,12 15 18 28 43 44,
2020-06-03,1328,2,28,31,32,44,46,,,2 28 31 32 44 46,
2020-06-06,1329,5,11,24,39,41,44,,,5 11 24 39 41 44,
2020-06-10,1330,15,16,25,26,36,39,,,15 16 25 26 36 39,
2020-06-13,1331,1,10,18,20,31,49,,,1 10 18 20 31 49,
2020-06-17,1332,1,3,13,41,42,47,,,1 3 13 41 42 47,
2020-06-20,1333,24,29,36,41,45,46,,,24 29 36 41 45 46,
2020-06-24,1334,6,10,30,36,43,46,,,6 10 30 36 43 46,
2020-06-27,1335,5,11,24,30,39,41,,,5 11 24 30 39 41,
2020-07-01,1336,6,7,13,17,18,38,,,6 7 13 17 18 38,
2020-07-04,1337,3,7,10,13,28,40,,,3 7 10 13 28 40,
2020-07-08,1338,3,9,10,18,28,43,,,3 9 10 18 28 43,
2020-07-11,1339,4,7,11,12,13,27,,,4 7 11 12 13 27,
2020-07-15,1340,6,8,13,15,19,46,,,6 8 13 15 19 46,
2020-07-18,1341,4,19,20,27,36,42,,,4 19 20 27 36 42,
2020-07-22,1342,13,19,20,23,28,39,,,13 19 20 23 28 39,
2020-07-25,1343,8,16,22,24,30,45,,,8 16 22 24 30 45,
2020-07-29,1344,3,5,25,41,45,49,,,3 5 25 41 45 49,
2020-08-03,1,4,34,39,42,47,61,72.0,0.0,4 34 39 42 47 61,72
2020-08-05,2,46,56,59,65,83,84,48.0,0.0,46 56 59 65 83 84,48
2020-08-08,3,11,31,33,44,68,78,14.0,0.0,11 31 33 44 68 78,14
2020-08-10,4,1,4,17,19,51,63,6.0,0.0,1 4 17 19 51 63,6
2020-08-12,5,10,39,67,80,82,87,2.0,0.0,10 39 67 80 82 87,2
2020-08-15,6,7,52,74,79,83,85,30.0,0.0,7 52 74 79 83 85,30
2020-08-17,7,5,18,25,44,55,82,49.0,0.0,5 18 25 44 55 82,49
2020-08-19,8,32,33,34,47,82,89,86.0,0.0,32 33 34 47 82 89,86
2020-08-22,9,1,8,18,51,55,70,36.0,0.0,1 8 18 51 55 70,36
2020-08-24,10,11,27,38,45,58,88,33.0,0.0,11 27 38 45 58 88,33
2020-08-26,11,13,27,38,58,59,67,45.0,0.0,13 27 38 58 59 67,45
2020-08-29,12,1,18,19,85,87,89,13.0,0.0,1 18 19 85 87 89,13
2020-08-31,13,2,11,15,30,35,53,67.0,0.0,2 11 15 30 35 53,67
2020-09-02,14,11,12,21,27,73,88,86.0,0.0,11 12 21 27 73 88,86
2020-09-05,15,18,54,61,70,75,85,87.0,0.0,18 54 61 70 75 85,87
2020-09-07,16,30,35,57,71,73,77,24.0,0.0,30 35 57 71 73 77,24
2020-09-09,17,1,21,29,41,44,72,86.0,0.0,1 21 29 41 44 72,86
2020-09-12,18,6,52,54,71,74,90,48.0,0.0,6 52 54 71 74 90,48
2020-09-14,19,1,48,54,65,72,82,23.0,0.0,1 48 54 65 72 82,23
2020-09-16,20,19,25,35,47,57,85,55.0,0.0,19 25 35 47 57 85,55
2020-09-19,21,19,44,45,61,71,87,83.0,0.0,19 44 45 61 71 87,83
2020-09-21,22,3,37,53,65,74,75,35.0,0.0,3 37 53 65 74 75,35
2020-09-23,23,5,6,14,21,31,90,11.0,0.0,5 6 14 21 31 90,11
2020-09-26,24,9,14,41,44,49,80,38.0,0.0,9 14 41 44 49 80,38
2020-09-30,26,8,25,28,35,43,59,77.0,0.0,8 25 28 35 43 59,77
2020-10-03,27,5,23,24,54,83,87,52.0,0.0,5 23 24 54 83 87,52
2020-10-05,28,18,44,46,48,56,79,39.0,0.0,18 44 46 48 56 79,39
2020-10-10,30,37,42,43,62,77,87,59.0,0.0,37 42 43 62 77 87,59
2020-10-12,31,18,22,50,52,67,73,27.0,0.0,18 22 50 52 67 73,27
2020-10-14,32,14,26,28,62,74,84,21.0,0.0,14 26 28 62 74 84,21
2020-10-17,33,25,35,36,50,79,82,83.0,0.0,25 35 36 50 79 82,83
2020-10-19,34,29,45,52,81,82,86,26.0,0.0,29 45 52 81 82 86,26
2020-10-21,35,13,22,37,43,66,87,65.0,0.0,13 22 37 43 66 87,65
2020-10-24,36,1,13,15,27,59,75,28.0,0.0,1 13 15 27 59 75,28
2020-10-26,37,44,71,74,76,83,87,37.0,0.0,44 71 74 76 83 87,37
2020-10-28,38,18,23,44,52,59,72,74.0,0.0,18 23 44 52 59 72,74
2020-10-31,39,15,16,19,74,75,81,20.0,0.0,15 16 19 74 75 81,20
2020-11-04,41,7,8,39,55,61,72,60.0,0.0,7 8 39 55 61 72,60
2020-11-07,42,16,43,64,73,85,88,24.0,0.0,16 43 64 73 85 88,24
2020-11-09,43,5,11,32,69,70,77,28.0,0.0,5 11 32 69 70 77,28
2020-11-11,44,12,20,38,72,74,87,14.0,0.0,12 20 38 72 74 87,14
2020-11-14,45,1,6,14,15,30,72,22.0,0.0,1 6 14 15 30 72,22
2020-11-16,46,29,33,39,49,56,89,19.0,0.0,29 33 39 49 56 89,19
